pdf_path	page_no	gold_text
data\input_pdfs\Albayrak_2002_ArAn5_listesi.pdf	2	"sa-hi-re- en6 1/2 GiN a-na 2 ki-ri-im ds-qûl
1/4 GİN a-na si-ri-im d§-01-ma e-mu-ni
ù e-ba-ra-tù-su a-st-i 4 1/2 GiN a-na
2 na-ru-uq it 1 DUG bu-uq-lim ds-qul
4 GİN a-na 2 na-ru-uq ba-pt-ri-im
15 ds-giıl 7 GİN LA 15 SE a-na 6 na-ru-uq
se-am ds-giıl 6 2/3 GIN a-na 4 na-ru-uq
ar-sa-tim d§-gıil 2 1/6 GiN a-na hi-im-tim
d§-giti 1 1/3 GiN a-na dı-is-pi-im ds-giıl
2 1/4 GiN a-na pd-ni-ri sa al-pi-im
20 it e-me-ri d§-gıil 15 GiN a-na al-pi-im
d§-giti 2/3 GİN a-na UDU ds-gıil 2/3 GİN 15 SE
a-na UDU-ma ds-giıl 1/6 GiN a-na UDU
[x] GIN a-na UDU ds-qûl 1 GiN a-na e-ri-qt-im
[x] LA 1/6 GİN a-na tv),-ri-im a-na sa ti-ib-nim
25 [dss-qı 1 GU,' ar-l'im û e-me-ri-<im> ds-qûl
[x] GIN a-na 2 mas-ke sa-pd-tt-im
[a-q]ul 3 1/6 GiN a-na 2 e-ri-qé-[ en6 ]
[sa e-.sf i ds-q~ıl 1 GİN Lk 7 1/5 SE
[a-na ]-ra-ni ds-giıl 2 GiN [a-na]
30 [e]-ri-qt-im sa kà-nu-wa
[x] GIN a-na a-ld-ni ù ki-ra-ni
[x+]5 GİN a-na 30 sa-hi-ra-tim
[x+]4 GIN a-na i.GİS d§-gıii 1/4
[G]İN a-na um-zi-im 1/3 GiN a-na su-um-ki
35 d§-gıil 1/2 GiN a-na 1 DUG ha-d§-1d-tim
ds-01 1 LA 1/6 GiN a-na-ru-uq pd-e
ds-giıl 1/6 GiN a-kà-nu-wa sa ki-ra-tim
1 GiN a-na zi-re ma-ld-hi û ha-ba-sa-tim
1/4 GfN a-na hi-im-tim bi4-is-tim ds-giıl
40 1/2 GIN LA7 1/2 SE a-na e-si ds-qul 22 1/2 SE
a-a-kà-nu-wa ds-giıl sa-ku-kam a-[x]-su
a-dt-in 1/4 GIN a-na ak-li-i[m x ]-tim
15 SE a-qd-ni 2/3 GiN 15 SE a-na ku[-x-(x)-t]im
d§-gıil 15 SE a-na ki-ki-a-ni ds-giıl
45 5/6 ma-na a-na 5 ku-ta-ni ds-giıl
4 1/2 GiN a-na na-ah-ld-pd-tt-sa ds-giıl
4 GİN a-na si-it-ri-sa ds-qûl
3 GiN a-na st-it-ri d§-01-ma a-ma-tim
ar-ku-us4 1/2 GİN a-na 2 ki-re-en6
50 ds-giıl 1/3 GİN a-na sa-hi-re-en6 ds-giıl
e-mu-ni it e-ba-ru-<tù>-su a-st-i"
data\input_pdfs\Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf	3	"Mektup, tüccarlar ile yerel saraylar arası ndaki ilişkilerde kârumun üstlendiği rol hakkinda dikkate değer bilgiler vermektedir. 5. satı rdaki, Kanig kârumunun, habercilerine yönelik me-er-ıı -ni a-tù-nu ""sizler bizim oğulları mızsını z"" şeklindeki kitabı, onları n kârumun belirlediği görevliler veya Asur vatandaşı olmalari münasebetiyle, kârunı-dâiresinin tabii üyeleri olmalarindan kaynaklanan bir tanımlama olabilir.. Mektupta kârum, haberciler ve beraberlerindeki kervanııı Kanig sarayı na gelmeleri konusunda cesaretlendirici açı klamalar yapmaktadı r.. Örneğin, Kanig sarayinin sadece nishatum-vergisini alacağı ve metinde DUMU a-l[i-ni] ""vatandaşımız"" şeklinde tanimlanan kimse veya kimselerin istedikleri yere gidebilecekleri kaydedilmiştir (st„9-13).. Kanig sarayında tüccarları n herhangi bir mal kaybina uğramayacakları da, kârum tarafindan tüccarlara ayrı ca bildirilmektedir„ Diğer taraftan, kârumun, daha kervan yolda iken, kervanin Kanig sarayrna sokulacağı konusunda saray yetkililerine söz verdiği anlaşı lmaktadı r„ Kârum, muhtemelen verdiği bu sözün gereği olarak, kervanin mutlaka Kanig sarayıııa sokulması nı istemektedir„' Kârum habercilere verdiği talimatlarinda, ""toplantrnızda / meclisinizde” karşı lığındaki Ma puhri-kunu ifadesini sı klı kla tekrarlayarak, habercilerin çeşitli konuları görüşmek üzere toplantı lar düzenledikleri ve bir kurul oluşturdukları yönündeki mevcut düşünceleri doğrulamaktadı r„8"
data\input_pdfs\Albayrak_2003_ArAn6_karum.pdf	4	"Kt. 88/k 963
Müze Env. No: 1-810-88; (8,6 x 5,8 x 2,1 cm. devetüyü renkli)
Oy. 1 urn-ma kà-ru-uın
Kà ni is ma a-na
A-sùr-ma-lik A-sùr-GAL Na-ni-ba-tal
sf-ip-ri-ni û ELLAT""""' af-bi4-ma
5 me-er-û-ni / a-tù-nu
a-na-kam / A-X-BAR-TUM
sa É.GALIIm / SIG5 mi-ma
li-ba-ak-nu lk i-pâ-ri-id
i-na dUTUs' sa a-na
10 Kà ni is / té ra ba iıi ~ni~
É.GALI""""' / ni-is-ha-[tkm]
Ha-cif-ma / DUMU a-l[i-ni']
li-bi4-su / i-la-a[k]
hu-lu-qk-û / mi-nia
15 i-na É.GALI"""" lk i-ba-sf
ù a-na ELLATm""
sé ru bi4 inı / pi-i-ni
Ak. a-na É.GALI""n
ni-dt-in / i-[nu-mi]
Ay. 20 [i-na A-]lim
ta-sa-me-ral-[ni] ril na
pu-ùh-ri-[ku]-nu
a-na Za-al-pk s[é]-er-da-ninı
ki-ma ra?-na?1 rZal-[a]l-pk
25 té-ru-ba-ni / mu-[ ]
e nıa ri ku ıııı i-tup-pi-[ ]
2 ZA-AK-DU-TİM
i-na pu-ùh-ri-ku-nu er-Ma?-ma
ba-ks-tam a-lk-ani A-sar
30 kà-ra-ani û ra-ma-na-tf-ku-nu
S'a-uk-na-ma / i-na
mi-ma e-ma qk-at-ku-nu
sa-ba-tkm a-na sa te-ra-ba-ni-ni
kà-ru-um
35 i-le-e"
data\input_pdfs\AKT 6c.pdf	33	"Bu kitap, Salim-Assur'un en kii<;tik oglu Ali-ahum'un i~leriyle ilgili oldugu avtk<;:a

goriilen 200 kadar metni sunmaktadtr. Ali-ahum i1e onceki kitaplarda kar~tla~mt~ttk; I. ki-
tapta onu karde~i Ennam-Assur'un yanmda, ozellikle de Salim-Assur'un ohimtinden sonra

aralannda <;:tkan miras kavgasma ili~kin boltimde tamdtk. Salim-Assur'un oltimtiyle ilgili do-
syada bu miras kavgasma ili~kin pek <;:ok beige yer ahr. Karde~ler arasmda iki ytl kadar

devam eden bu anla~mazhk Ennam-Assur Tawniya'da katledilince birden sona ermi~ ve Ali-
ahum ailenin Anadolu'daki i~lerinin ba~mda rakipsiz kalmt~tlr.

Bu kitapta toplanan metinler Ali-ahum'un olduk<;:a uzun bir zamana yaytlan faali-
yetlerini yansttmakta, babasmm saghgmdan ba~layarak btiytik karde~inin oltimtinden birka<;:

ytl sonrasma uzanmaktadtr. Bu kitapta yer alan tarihlenmi~ metinlerin <;:ogu REL 107 ythna
aittir.12 Ne yaztk ki, tarihlenmemi~ metinler i<;:inden hangilerinin babast i<;:in <;:ah~tlgt doneme,
karde~iyle miras kavgasma girdigi ktsa doneme, veya, i~leri tek ba~ma yonettigi ytllara ait

oldugunu belirlemek genellikle mtimktin degildir. Bu kitapta yer alan hi<;: bir mektupta, ba-
bast ile ileti~ime girildigini gosteren a<;:tk bir deginme bulunmamaktadtr. Buna kar~thk, I. ki-
tapta Salim-Assur ile en kiic;:iik oglu arasmda gonderilmi~ mektuplardan omekler bulunur;

ancak bunlarda Ali-ahum her zaman ba~kalan e~liginde ve <;:ok kez de bi.iytik karde~iyle bir-
liktedir.

Damiq-pi-Assur13 , Puzur-Assur veya Zukuwa gibi ki~ilerle yaptlan yazt~malar yu-
kanda sozi.i edilen donemlerden birine kesin olarak tarihlenemese de, bu mektuplann bir-
birine oldukya yakm zamanlarda yaztlmt~ oldugu izlenimi dogmakta, ve bir<;:ok ticari i~leme

farkh mektuplarda deginilmektedir. Bu il9 ki~inin adlan Ennam-Assur ar~ivinde de ge<;:mi~

olmakla birlikte, son iki isim Ali-ahum'un btiytik karde~ine attfta bulunan metinlerde miln-
feriden goriiliir. Buna dayanarak, onlann esas olarak Ali-ahum'a bagh olduklan, Ennam-
Assur ve onun i~leriyle 90k az veya hi<;: ilgileri olmadtgt sonucuna vanlabilir. Bu durumda,

onlarla yaplmt~ yazt~malann <;:ogunun, Ali-ahum'un i~leri tek ba~ma yonettigi son ytllara ta-
rihlenmesi gerektigini di.i~tinebiliriz.

Buyiik karde~inin oltimi.inden soma Ali-ahum'un ne kadar sure Kani~'te <;:ah~maya
devam ettigini kesin olarak soylemek olanakstzdtr. REL 107 yth ozellikle iyi belgelenmi~tir;
Ennam-Assur'un oliimiinden il<;: yll sonra, 528 nolu mektupta Kani~'de bazt faaliyetlerden soz edilir ve bunlar olastltkla REL 107 ba~ma tarihlenebilir, ancak, Ali-ahum'un bundan son- ra adeta ortadan kayboldugunu gotiiyoruz. KUltepe'de ele ge<;:en tarihlenmi~ metinlerin btiytik <;:ogunlugunun REL 80 ve REL 11014 arasmda kalan 30 ytlltk ktsa zaman dilimine ait oldugu gosterilmi~tir; boylece, ikinci tarihe yakm bir zamanda Ali-ahum ve ailesinin de izi kay- bolmaktadtr. Elbette ki, bu genel gidi~at i<;:inde bireysel durumlann degi~ik ac;;tklamalan olabilir. Ali-ahum'un durumunda, ar~ivin bulundugu bu evde aslmda devamlt oturmadtgt, ona ait metinlerin <;:ogunun ba~ka yerde aranmasi gerektigi dii~iini.ilebilir; bir ba~ka olasthk, olmii~ ya da Assur'a donmii~ oldugu i<;:in Kani~'deki varhgmm ger<;:ekten de sona ermi~ ol- mastdtr; son olarak da, Kani~ belgelerinin genel olarak saytca birdenbire <;:ok azaldtgt donemde, onun da ticari hayat1 bitmi~ olabilir. Ktz karde~i Lamasst'den gelen 533 nolu mek- tup, aile i~lerinin o donemde iyi gitmedigine ac;;tkc;;a i~aret etmektedir. Bu kitapta toplanan metinler, tipik olarak, oldukc;;a miitevazt ticari i~lemleri kapsamaktadtr; REL 107 ythnda, ne- redeyse tamamt Anadolululara a<;:tlmt~ c;;ok saytda kredinin kayda deger bir toplam tutan olmadtgt gotiilmektedir. Tarihli belgelerin REL 1 I 0 yth dolaylannda anstzm ne neredeyse tamamen ortadan kalkmast Assur ticari faaliyetlerindeki gene! bir dii~ii~e baglanabilir, ve bu da Ali-ahum'un i~ hayatmm sona ermi~ oldugu anlamma gelebilir."
data\input_pdfs\AKT 7a.pdf	10	"Aššur-UƝ¶Ư¶QLQùHFHUHVL
Elimizde Aššur-rē’ī’ye âit önemli sayıda vesika olmasına rağmen ailesi
bilhassa özel hayatı hakkında yeterli bilgi bulunmamaktadır. Metinlerin büyük
çoğunluğunun iktisadi muhtevalı olması sebebiyle ticari faaliyetleri ve mali
durumu hakkında önemli değerlendirmeler yapabilsek de, ebeveyni hanımı ve
çocukları ile olan ilişkileri bir sır perdesi olarak karşımızda durmaktadır
Metinlerin bu hususlardaki sessizliği öylesine derindir ki annesi babası
hanımı veya çocuklarıyla yazıştığına dair tek bir örnek bile yoktur Sadece
kardeşleri olduklarını düşündüğümüz iki şahısla ilgili kayıtlar mevcuttur ki,
onlar da ticari konularla ilgili olup özel hayatları hakkında bilgi vermezler.
Aššur-rē’ī’nin soyağacı hakkında elimizde çok az bilgi mevcuttur Annesinin

ismini bilemiyoruz. Kendisi Puzur-İštar’ın oğlu olup Ah-šalim ve Ennum-
Aššur isminde en az iki kardeşe sahip olduğu metinlere yansımaktadır Asurlu

bir bayanla evli olan Aššur-rē’ī’nin Mannum-balum-Aššur Pilah-İštar ve
Šuzuzu isminde üç oğlu ve adını bilemediğimiz bir kızı olduğu
anlaşılmaktadır 10 Bunların yanında L G Gökçek taraIından hazırlanan bir
çalışmada Aššur-rē’ī’nin Aššur-bƗni isminde bir oğlu daha olduğu ifade
edilmektedir.11 Bize göre bu ailenin bir üyesi olma hususu problemli görünen
bu şahsın aynı zamanda avukat

rāEL܈um) olduğu, Pilah-İštar’ın kardeşleri ile
olan ihtilaIlarında Pilah-İštar’la birlikte hareket ettiği ve hukuki mevzularda
Pilah-İštar’a yardımcı olduğu ifade edilmektedir.12 Ancak metinlerin hiçbirinde
bu şahsın, arşivin sahibi Aššur-rē’ī’nin oğlu olduğuna dair açık iIadeler
bulunmamaktadır Ayrıca bu şahsın kardeşler arasındaki anlaşmazlıklarda bir
diğer kardeş olarak taraI olmadığını bunun yerine bir avukat olarak
kaydedildiğini söylemek mümkündür Sadece bir metinde muhtemelen bir
başka Aššur-rē’ī’nin oğlu olarak belirtilmektedir ki burada da rāEL܈um unvanı
ile geçmemektedir"
data\input_pdfs\AKT 7a.pdf	35	Kültepe’de 1988 yılı kazı sezonunda gerçekleştirilen çalışmalar neticesinde ortaya çıkarılan eserler içinde en önemli gurubu şüphesiz Eski Asur çivi yazısı ve lehçesi ile yazılmış metinler oluşturmaktadır 1 - 11 kazı envanter numaralar arasındaki bulla zarI ve tabletlerden oluşan bu yazılı belgeler içinde 1 - 9 kazı envanter numaralı metinlerin büyük kısmı bir aile arşivine kit olup ThBİTAK taraIından desteklenen 18K nolu proMe kapsamında bunların bilimsel çalışmaları yapılmıştır Bu çalışmalar neticesinde 815 adet yazılı belge incelenmiş ve belgelerin büyük çoğunluğunun Asurlu tüccar Aššur-rē’ī ile oğlu Pilah-İštar’a kit olduğu anlaşılmıştır Biz bu ciltte Aššur-rē’ī’ye kit ve bunlarla ilgili olan diğer metinleri ele almış bulunmaktayız Bu şahsın oğlu Pilah-İštar’ın metinlerini ise diğer bir ciltte yayınlamayı planlıyoruz. Nimet Özgüç 1988 yılı arşivinin ele geçtiği evin kārum Kaneš’in II katında S-T/12-1 plankarede yürütülen çalışmalar neticesinde 198 yılında kısmen 1988 kazı mevsiminde ise tamamen gün ışığına çıkarıldığını belirterek arşive kit yazılı belgelerin büyük çoğunluğunun ve beş bullanın bu evin tabanı üzerinde dağınık bir şekilde bulunduğunu geriye kalan zarf, tablet ve iki bullanın ise arşiv odasının güney-doğu köşesine yerleştirilmiş bir çömlekle iki çanağın içinde ortaya çıkarıldığını belirtmektedir (Resim 1-3).
data\input_pdfs\Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf	5	"Transkripsiyon
1 KİSİB İ rï si-inm KİSİB Ha pu-a-su
KİSİB Pé-ru-a KİSİB Ta-mu-ri-a
KİSİB Ta-h-a KİSİB İ a ta al-kà
1 ma-na KÙ BABBAR 30 na-rıı-uq
5 1/2 SE 1/2 GİG 60 NİNDA
i_c ô_ov m/7_7111A_Y7_/7 Ta-ii-a
ù İ a-ta-al-kà
a- z-ti-su
10 Ma-da-wa-da ti-su
Ay is-.tiı ha-mııs-tim
sà kà-sI-ïm sa qci-té
İ kıı pi-a İTU.KAM ia sà-ra-dim
h-mu-um sa qà-té
15 En-na-Sû-en67,246-tam
a-na sï-hi4-it ni-ga-hm
i-du-nu KO BABBAR a-na
ha-ar pi ï is-qil-lu su-ma
ià 0-0-1u 1 ma-na-um
20 1/2 ma-na i-sà hıı ur-su nu ti
KÙ BABBAR i-qà-qà-ad
Sk, i-na ka ar pi-ti im ka Ma-da-wa9-da
i-ma-c/a-ad
sai-mi-su-nu
25 ra-ki-i v"
data\input_pdfs\Albayrak_2000_ArAn4_testament.pdf	6	"A-gu-a /si-im tù-su
i si-ma / bé-turn sa a-limé'
sa a-si-ti-a / i-na KÙ.BABBAR
qà di / me-er-e-a-ma
5 ta-zu-az i-na KÙ.BABBAR
zi-ti-sa / a-ba-at ù um-ma-at
bé-tù-um ù KÙ.BABBAR wa-ar-kà-sà
ù mi-ma ti-su-ù
sa Su-Be-lim bé-tù-uın
10 sa Kà-ni-is /sa Su-Be-lim
urn-mi-a-ni / me-er-ù-a
e-pu-lu-ma i-na KÙ.BABBAR
sa i-a-ti /i-si-ta-ni
1/3 ma-na KÙ.GI 1 ma-na

EIN NEUES ALTASSYRISCHES TESTAMENT AUS KÜLTEPE 23
15 KÙ.BABBAR ù am-tcim Ab-sa-lim
tù-<na> -sa-ra-ma / ta-lci-qé
ù i-na sl-ta-tim
me-er- fi-a
u.K. sa bé-ta-tim
20 là 115-qé-fi-ni 4 GÙ.TA
Rs. URUDU ki-ma bé-ta-ti-ku-nu

i-lci-qé-ù i-na
si tl KÙ.BABBAR am-tim wa-ar-dim
a-sl-tl Su-Be-lim ù me-er-i-a
25 mu-gi mu-tci-ma
i-zu-zu sa-wi-sù sa A-kUr-i-dl
wa-su-ra-szı-um su-ma KÙ.BABBAR
i-a-ti mi-ma fi-la is-tl-tàm
4 GÙ. TA URUDU
30 sa be-ta-ti-ku-nu
me-er-fi-a / fi-là i-lci-qé-fi
2 ma-na KÙ.BABBAR
Puzur4-Istar ù-WA-ù
2 ma-na KÙ.BABBAR U-szı-ur-sa-A-kUr
35 fi-ta-ar
e-li-a-tù-su-nu
a pu-a-ti-su-nu-ma
o.K. i-ta-pu-lu

A-bi-i-li ku-ma 10 ma-na
40 KÙ.BABBAR i-sa-qal
1.S. qa-di a-hi-ku-ma / i-zu-az ku-ma 10 ma-na
KÙ.BABBAR lci is-qùl / na-si-ih ù 10 ma-na.TA
KÙ.BABBAR a-na a-hi-ku i-na pà-al IGI I dl-Sù-en6
IGI A-kUr-na-da IGI A pl-i15-ke-<en6> IGI I-ku-pi-a
45 IGI Sà-li-a"
data\input_pdfs\Albayrak_2000_ArAn4_testament.pdf	7	"A-gu-a /si-im tù-su
i si-ma / bé-turn sa a-limé'
sa a-si-ti-a / i-na KÙ.BABBAR
qà di / me-er-e-a-ma
5 ta-zu-az i-na KÙ.BABBAR
zi-ti-sa / a-ba-at ù um-ma-at
bé-tù-um ù KÙ.BABBAR wa-ar-kà-sà
ù mi-ma ti-su-ù
sa Su-Be-lim bé-tù-uın
10 sa Kà-ni-is /sa Su-Be-lim
urn-mi-a-ni / me-er-ù-a
e-pu-lu-ma i-na KÙ.BABBAR
sa i-a-ti /i-si-ta-ni
1/3 ma-na KÙ.GI 1 ma-na

EIN NEUES ALTASSYRISCHES TESTAMENT AUS KÜLTEPE 23
15 KÙ.BABBAR ù am-tcim Ab-sa-lim
tù-<na> -sa-ra-ma / ta-lci-qé
ù i-na sl-ta-tim
me-er- fi-a
u.K. sa bé-ta-tim
20 là 115-qé-fi-ni 4 GÙ.TA
Rs. URUDU ki-ma bé-ta-ti-ku-nu

i-lci-qé-ù i-na
si tl KÙ.BABBAR am-tim wa-ar-dim
a-sl-tl Su-Be-lim ù me-er-i-a
25 mu-gi mu-tci-ma
i-zu-zu sa-wi-sù sa A-kUr-i-dl
wa-su-ra-szı-um su-ma KÙ.BABBAR
i-a-ti mi-ma fi-la is-tl-tàm
4 GÙ. TA URUDU
30 sa be-ta-ti-ku-nu
me-er-fi-a / fi-là i-lci-qé-fi
2 ma-na KÙ.BABBAR
Puzur4-Istar ù-WA-ù
2 ma-na KÙ.BABBAR U-szı-ur-sa-A-kUr
35 fi-ta-ar
e-li-a-tù-su-nu
a pu-a-ti-su-nu-ma
o.K. i-ta-pu-lu

A-bi-i-li ku-ma 10 ma-na
40 KÙ.BABBAR i-sa-qal
1.S. qa-di a-hi-ku-ma / i-zu-az ku-ma 10 ma-na
KÙ.BABBAR lci is-qùl / na-si-ih ù 10 ma-na.TA
KÙ.BABBAR a-na a-hi-ku i-na pà-al IGI I dl-Sù-en6
IGI A-kUr-na-da IGI A pl-i15-ke-<en6> IGI I-ku-pi-a
45 IGI Sà-li-a"
data\input_pdfs\Albayrak_2000_ArAn4_vasiyetname.pdf	7	"3-5>Karım, gümüşü oğul-larımla birlikte paylaşacak. 5-6>Gümüşten onun
hissesi (hem) baba (hem de) anne (olarak)tır. 7-9>Ev, gümüş ve sâhip
olduğu her şey O (karım) öldükten sonra Su-Bélum'undur. 9-1°>Kaniş'deki

KÜLTEPEDEN YENİ BİR VASİYETNÂME 9
bıraktığı Absalim, Agüa'nın ikinci eşi olarak düşünülebilir. Belki de
Absalim, Agüa'nın, adlarini belirtmeden me-er-û-a ""oğullarıın"" dediği
kimselerin annesiydi.
St.8) mi-ma ti-su-ù ""sâhip olduğu her şey"" ifadesiyle Agüa
herhalde, eşinin çeyiz (Seriktum) ve miras yoluyla baba evinden getirdiği
mal veya kendi ticari faaliyetlerden elde ettiği kazançlari kastetmiş
olmalıdır.
St.7-10) ""Ev, gümüş ve onun sâhip olduğu her şey, O (karım)
öldükten sonra Su-Bélum'undur. Kanis'teki ev Su-Bélum'undur""
ifadesinde Sa elemanının kullanimina dikkat çekmek istiyoruz. sa
elemanın kendisinden önce sayılan nesnelerin, hemen kendi arkasindan
gelen şahsa ait olduğunu göstermektedir. Aslında, bir takım nesneler
sayıldıktan sonra zittum ""hisse"" veya gäıtum ""hisse, pay"" kelimelerinden
birinin sa'dan önce yazilmasi beklenirdi. sa elemanının böyle bir
kullanımını, bir mirasın paylaşılması hususunda düzenlenmiş olan EL
287 (Jena 369) metninden tanıyoruz. Burada şöyle denilmektedir: 40)É`um
sa a lim~° zi-tum sa Su mi a bi4 a ""Asur'daki ev Sumi-abia'nın hissesidiir""
St.15) Absalim'in bayan adi olarak da geçtiğini CCT III, 14,3,32;
ICK II 156,5 (Assur-lamassi'nin kiz kardeşi) gibi bir çok metinden
biliyoruz. Burada Absalim'in Agüa'ya yakınlığı açık değildir. Ancak,
metnin hemen başinda Agüa'nın, Asur'daki evini bıraktığı ve karisi
(asitia ""karım"") olduğunu belirttiği bayan herhalde Asur'da oturuyordu.
Bilindiği üzere; Asurlu tüccarlar Anadolu'da ikinci bir eş ile
evlenebiliyorlar ve ilk eşlerini kasıtla daha çok aSSatum —genellikle
Asur'da oturuyorlar—, Anadolu'daki eşlerinden bahisle amtum kelimesini
kullanmaya özen gösteriyorlardı."" Dolayısıyla, Absalim'in, Agüa'nın
Anadolu'daki ikinci eşi olduğu düşünülebilir.
St.16) tù-<na>-sa-ra-ma : Fiili —na ile tamamlayarak,
metnimize anlam bakimindan uyan nasäırum D ""bir bütünden bir parçayı
çıkarmak, ayırmak"" kökünden (Prs. 3. Tk. şh.f) tercüme ediyoruz. Çünkü,
wasdrum ""serbest bırakmak"", sarû ""zengin olmak"" ve saräımum ""söküp
çıkarmak, kesmek"" fıllerinin anlamları cümlenin akışına uymamaktadır."
data\input_pdfs\Albayrak_2001_AMMY2000_ma'usu.PDF	6	"Bu metinde de, mä'û'nun, yukarida ele aldığımı z Kt7.Gİ sa ma-e-su
yazımına paralel bir geçişine tanik olmaktayız. Yine, burada da TM
sa ma-e-su ifadesiyle kumaşın bir kalitesi anlatılmak istenmiş
olmalı dır. Kumaş için böyle bir sıfatın kullanı lması , onun işlendiği
esnada veya tamamlandı ktan sonra su içinde bekletmeye veya
yı kamaya tâbi tutulup daha sonra kullanima sunulduğunu
düsündürmektedir.
Kültepe metinlerinde, yukarida verdiğimiz örneklerin dışında,
mä'û kelimesinin satû ""içmek"" fiiliyle irtibatlandırılarak, mecâzi bir
anlamda kullanı ldığı örnekler de vardı r. Bu konuda ele almak
istediğimiz ilk örnek, BIN IV, 29 metninin 43-44. satırlarında geçen şu
ifadedir:
0)ma-ma-an / ma-e )

i-şé-ri-a 22)l6, i-
sa-tt

L0-22)""Kimse benim sIrtImdan su
içmeyecek!""
um-ma a-na-ku-ma
44)LUGAL' mma-e i-sé-ri-su-nu lâ i-sa-ti
Ben şöyle (söylüyorum):
""Kral's onlarin sirtindan su içmeyecek!""

Verilen tercümeden de anlaşılacağı üzere, burada su ile ilgili ilginç
bir ifade geçmektedir. Lewy, bu satirlari ""Auf jemandes Rücken
Wasser trinken = Birinin sirtindan su içmek"" şeklinde tercüme
etmekte ve "" bir başka kimseden avantaj sağlamak"" mânâsında,
mecâzi bir anlatimin söz konusu olduğunu belirtmektedir.'9Ayni
ifade, Kayseri 90' env. nolu belgenin 20-22. satırlarında da şöyle
geçmektedir:"
data\input_pdfs\Albayrak_2001_AMMY2000_ma'usu.PDF	7	"Bu metinde de, mä'û'nun, yukarida ele aldığımı z Kt7.Gİ sa ma-e-su
yazımına paralel bir geçişine tanik olmaktayız. Yine, burada da TM
sa ma-e-su ifadesiyle kumaşın bir kalitesi anlatılmak istenmiş
olmalı dır. Kumaş için böyle bir sıfatın kullanı lması , onun işlendiği
esnada veya tamamlandı ktan sonra su içinde bekletmeye veya
yı kamaya tâbi tutulup daha sonra kullanima sunulduğunu
düsündürmektedir.
Kültepe metinlerinde, yukarida verdiğimiz örneklerin dışında,
mä'û kelimesinin satû ""içmek"" fiiliyle irtibatlandırılarak, mecâzi bir
anlamda kullanı ldığı örnekler de vardı r. Bu konuda ele almak
istediğimiz ilk örnek, BIN IV, 29 metninin 43-44. satırlarında geçen şu
ifadedir:
0)ma-ma-an / ma-e )

i-şé-ri-a 22)l6, i-
sa-tt

L0-22)""Kimse benim sIrtImdan su
içmeyecek!""
um-ma a-na-ku-ma
44)LUGAL' mma-e i-sé-ri-su-nu lâ i-sa-ti
Ben şöyle (söylüyorum):
""Kral's onlarin sirtindan su içmeyecek!""

Verilen tercümeden de anlaşılacağı üzere, burada su ile ilgili ilginç
bir ifade geçmektedir. Lewy, bu satirlari ""Auf jemandes Rücken
Wasser trinken = Birinin sirtindan su içmek"" şeklinde tercüme
etmekte ve "" bir başka kimseden avantaj sağlamak"" mânâsında,
mecâzi bir anlatimin söz konusu olduğunu belirtmektedir.'9Ayni
ifade, Kayseri 90' env. nolu belgenin 20-22. satırlarında da şöyle
geçmektedir:"
